n_laws,month,topic,salience_seat,clp,time,ideo_gov,gov_pop_l1,bundesratmaj,elec_cycle_12,rile_diff,salience_diff,europe,account_balance_perc_l1,salience_chanc,salience_partner,salience_gov,salience_perc,gov_pop_delta,start_date
0,1995-03-01,1,9.019066251289455,0,130,1,-0.15399705738106914,0,1,25.155,0.01158512747479825,0.14,-1.5161783017734058,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,0.07190186272378052,1994-11-17
0,1995-03-01,15,4.677510866555772,0,130,1,-0.15399705738106914,0,1,25.155,0.01989263075591298,0.6428571428571429,-1.5161783017734058,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,0.07190186272378052,1994-11-17
0,1995-03-01,19,9.551421846414105,0,130,1,-0.15399705738106914,0,1,25.155,0.01827650721845243,0.5869565217391305,-1.5161783017734058,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,0.07190186272378052,1994-11-17
0,1995-03-01,4,3.605925549506364,0,130,1,-0.15399705738106914,0,1,25.155,0.01877740079863728,0.5483870967741935,-1.5161783017734058,3.864734299516908,1.9869942196531791,2.9258642595850435,3.596141786904103,0.07190186272378052,1994-11-17
0,1995-03-01,13,10.009218423605647,0,130,1,-0.15399705738106914,0,1,25.155,0.05365844293652789,0,-1.5161783017734058,10.748792270531402,5.382947976878612,8.065870123705007,9.981260269389969,0.07190186272378052,1994-11-17
0,1995-03-01,14,5.074541206927768,0,130,1,-0.15399705738106914,0,1,25.155,0.01737420066460026,0.04761904761904761,-1.5161783017734058,5.314009661835748,3.5765895953757223,4.445299628605735,5.065488566653997,0.07190186272378052,1994-11-17
0,1995-03-01,16,3.2708514053620212,0,130,1,-0.15399705738106914,0,1,25.155,0.02701160258021278,0,-1.5161783017734058,2.898550724637681,5.5997109826589595,4.24913085364832,3.2849255101854444,0.07190186272378052,1994-11-17
0,1995-03-01,8,2.787408515920705,0,130,1,-0.15399705738106914,0,1,25.155,0.01682618469185445,0.15384615384615383,-1.5161783017734058,3.0193236714975846,1.3367052023121389,2.1780144369048617,2.7786414134717403,0.07190186272378052,1994-11-17
0,1995-03-01,10,4.7842817018083945,0,130,1,-0.15399705738106914,0,1,25.155,0.03166624780095502,0.18181818181818185,-1.5161783017734058,4.3478260869565215,7.514450867052023,5.931138477004272,4.8007810594304265,0.07190186272378052,1994-11-17
1,1995-03-01,2,8.88506300305342,0,130,1,-0.15399705738106914,0,1,25.155,0.01254502806400267,0.3333333333333333,-1.5161783017734058,9.057971014492754,7.803468208092486,8.43071961129262,8.878526551191253,0.07190186272378052,1994-11-17
0,1995-03-01,5,4.665216666580683,0,130,1,-0.15399705738106914,0,1,25.155,0.03179016224065231,0.3125,-1.5161783017734058,4.2270531400966185,7.40606936416185,5.816561252129233,4.681780588487941,0.07190186272378052,1994-11-17
0,1995-03-01,18,2.584134275818035,0,130,1,-0.15399705738106914,0,1,25.155,0.01404945407835581,0.1176470588235294,-1.5161783017734058,2.7777777777777777,1.3728323699421965,2.075305073859987,2.57681395897184,0.07190186272378052,1994-11-17
0,1995-03-01,17,2.685044369056805,0,130,1,-0.15399705738106914,0,1,25.155,0.01955928346038927,0.3125,-1.5161783017734058,2.4154589371980677,4.371387283236994,3.3934231102175314,2.69523552320529,0.07190186272378052,1994-11-17
0,1995-03-01,3,2.0154687967155036,0,130,1,-0.15399705738106914,0,1,25.155,0.02355421518527827,0.2857142857142857,-1.5161783017734058,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,0.07190186272378052,1994-11-17
0,1995-03-01,721,4.317980369569762,0,130,1,-0.15399705738106914,0,1,25.155,0.03288444891234537,0.41025641025641024,-1.5161783017734058,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,0.07190186272378052,1994-11-17
0,1995-03-01,6,3.6284871798840297,0,130,1,-0.15399705738106914,0,1,25.155,0.03543429393203205,0.13333333333333333,-1.5161783017734058,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,0.07190186272378052,1994-11-17
0,1995-03-01,25,2.6330469815013675,0,130,1,-0.15399705738106914,0,1,25.155,0.02802560665717237,0,-1.5161783017734058,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,0.07190186272378052,1994-11-17
1,1995-04-01,12,11.755799386171338,0,131,1,0.08704156479217603,0,1,25.155,0.04961289827148082,0.2413793103448276,-1.5161783017734058,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,0.10175952891446063,1994-11-17
2,1995-04-01,2420,4.04953320425882,0,131,1,0.08704156479217603,0,1,25.155,0.02217021306302533,0.11594202898550723,-1.5161783017734058,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,0.10175952891446063,1994-11-17
0,1995-04-01,1,9.019066251289455,0,131,1,0.08704156479217603,0,1,25.155,0.01158512747479825,0.14,-1.5161783017734058,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,0.10175952891446063,1994-11-17
0,1995-04-01,15,4.677510866555772,0,131,1,0.08704156479217603,0,1,25.155,0.01989263075591298,0.6428571428571429,-1.5161783017734058,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,0.10175952891446063,1994-11-17
1,1995-04-01,19,9.551421846414105,0,131,1,0.08704156479217603,0,1,25.155,0.01827650721845243,0.5869565217391305,-1.5161783017734058,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,0.10175952891446063,1994-11-17
0,1995-04-01,4,3.605925549506364,0,131,1,0.08704156479217603,0,1,25.155,0.01877740079863728,0.5483870967741935,-1.5161783017734058,3.864734299516908,1.9869942196531791,2.9258642595850435,3.596141786904103,0.10175952891446063,1994-11-17
0,1995-04-01,13,10.009218423605647,0,131,1,0.08704156479217603,0,1,25.155,0.05365844293652789,0,-1.5161783017734058,10.748792270531402,5.382947976878612,8.065870123705007,9.981260269389969,0.10175952891446063,1994-11-17
0,1995-04-01,14,5.074541206927768,0,131,1,0.08704156479217603,0,1,25.155,0.01737420066460026,0.04761904761904761,-1.5161783017734058,5.314009661835748,3.5765895953757223,4.445299628605735,5.065488566653997,0.10175952891446063,1994-11-17
0,1995-04-01,16,3.2708514053620212,0,131,1,0.08704156479217603,0,1,25.155,0.02701160258021278,0,-1.5161783017734058,2.898550724637681,5.5997109826589595,4.24913085364832,3.2849255101854444,0.10175952891446063,1994-11-17
0,1995-04-01,8,2.787408515920705,0,131,1,0.08704156479217603,0,1,25.155,0.01682618469185445,0.15384615384615383,-1.5161783017734058,3.0193236714975846,1.3367052023121389,2.1780144369048617,2.7786414134717403,0.10175952891446063,1994-11-17
0,1995-04-01,10,4.7842817018083945,0,131,1,0.08704156479217603,0,1,25.155,0.03166624780095502,0.18181818181818185,-1.5161783017734058,4.3478260869565215,7.514450867052023,5.931138477004272,4.8007810594304265,0.10175952891446063,1994-11-17
0,1995-04-01,2,8.88506300305342,1,131,1,0.08704156479217603,0,1,25.155,0.01254502806400267,0.3333333333333333,-1.5161783017734058,9.057971014492754,7.803468208092486,8.43071961129262,8.878526551191253,0.10175952891446063,1994-11-17
0,1995-04-01,5,4.665216666580683,0,131,1,0.08704156479217603,0,1,25.155,0.03179016224065231,0.3125,-1.5161783017734058,4.2270531400966185,7.40606936416185,5.816561252129233,4.681780588487941,0.10175952891446063,1994-11-17
0,1995-04-01,18,2.584134275818035,0,131,1,0.08704156479217603,0,1,25.155,0.01404945407835581,0.1176470588235294,-1.5161783017734058,2.7777777777777777,1.3728323699421965,2.075305073859987,2.57681395897184,0.10175952891446063,1994-11-17
0,1995-04-01,17,2.685044369056805,0,131,1,0.08704156479217603,0,1,25.155,0.01955928346038927,0.3125,-1.5161783017734058,2.4154589371980677,4.371387283236994,3.3934231102175314,2.69523552320529,0.10175952891446063,1994-11-17
0,1995-04-01,3,2.0154687967155036,0,131,1,0.08704156479217603,0,1,25.155,0.02355421518527827,0.2857142857142857,-1.5161783017734058,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,0.10175952891446063,1994-11-17
0,1995-04-01,721,4.317980369569762,0,131,1,0.08704156479217603,0,1,25.155,0.03288444891234537,0.41025641025641024,-1.5161783017734058,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,0.10175952891446063,1994-11-17
0,1995-04-01,6,3.6284871798840297,0,131,1,0.08704156479217603,0,1,25.155,0.03543429393203205,0.13333333333333333,-1.5161783017734058,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,0.10175952891446063,1994-11-17
0,1995-04-01,25,2.6330469815013675,0,131,1,0.08704156479217603,0,1,25.155,0.02802560665717237,0,-1.5161783017734058,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,0.10175952891446063,1994-11-17
0,1995-05-01,12,11.755799386171338,1,132,1,0.3358526216343883,0,1,25.155,0.04961289827148082,0.2413793103448276,-1.5161783017734058,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,0.03802699655114106,1994-11-17
0,1995-05-01,2420,4.04953320425882,2,132,1,0.3358526216343883,0,1,25.155,0.02217021306302533,0.11594202898550723,-1.5161783017734058,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,0.03802699655114106,1994-11-17
0,1995-05-01,1,9.019066251289455,0,132,1,0.3358526216343883,0,1,25.155,0.01158512747479825,0.14,-1.5161783017734058,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,0.03802699655114106,1994-11-17
0,1995-05-01,15,4.677510866555772,0,132,1,0.3358526216343883,0,1,25.155,0.01989263075591298,0.6428571428571429,-1.5161783017734058,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,0.03802699655114106,1994-11-17
0,1995-05-01,19,9.551421846414105,1,132,1,0.3358526216343883,0,1,25.155,0.01827650721845243,0.5869565217391305,-1.5161783017734058,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,0.03802699655114106,1994-11-17
0,1995-05-01,4,3.605925549506364,0,132,1,0.3358526216343883,0,1,25.155,0.01877740079863728,0.5483870967741935,-1.5161783017734058,3.864734299516908,1.9869942196531791,2.9258642595850435,3.596141786904103,0.03802699655114106,1994-11-17
0,1995-05-01,13,10.009218423605647,0,132,1,0.3358526216343883,0,1,25.155,0.05365844293652789,0,-1.5161783017734058,10.748792270531402,5.382947976878612,8.065870123705007,9.981260269389969,0.03802699655114106,1994-11-17
0,1995-05-01,14,5.074541206927768,0,132,1,0.3358526216343883,0,1,25.155,0.01737420066460026,0.04761904761904761,-1.5161783017734058,5.314009661835748,3.5765895953757223,4.445299628605735,5.065488566653997,0.03802699655114106,1994-11-17
0,1995-05-01,16,3.2708514053620212,0,132,1,0.3358526216343883,0,1,25.155,0.02701160258021278,0,-1.5161783017734058,2.898550724637681,5.5997109826589595,4.24913085364832,3.2849255101854444,0.03802699655114106,1994-11-17
0,1995-05-01,8,2.787408515920705,0,132,1,0.3358526216343883,0,1,25.155,0.01682618469185445,0.15384615384615383,-1.5161783017734058,3.0193236714975846,1.3367052023121389,2.1780144369048617,2.7786414134717403,0.03802699655114106,1994-11-17
0,1995-05-01,10,4.7842817018083945,0,132,1,0.3358526216343883,0,1,25.155,0.03166624780095502,0.18181818181818185,-1.5161783017734058,4.3478260869565215,7.514450867052023,5.931138477004272,4.8007810594304265,0.03802699655114106,1994-11-17
0,1995-05-01,2,8.88506300305342,1,132,1,0.3358526216343883,0,1,25.155,0.01254502806400267,0.3333333333333333,-1.5161783017734058,9.057971014492754,7.803468208092486,8.43071961129262,8.878526551191253,0.03802699655114106,1994-11-17
0,1995-05-01,5,4.665216666580683,0,132,1,0.3358526216343883,0,1,25.155,0.03179016224065231,0.3125,-1.5161783017734058,4.2270531400966185,7.40606936416185,5.816561252129233,4.681780588487941,0.03802699655114106,1994-11-17
0,1995-05-01,18,2.584134275818035,0,132,1,0.3358526216343883,0,1,25.155,0.01404945407835581,0.1176470588235294,-1.5161783017734058,2.7777777777777777,1.3728323699421965,2.075305073859987,2.57681395897184,0.03802699655114106,1994-11-17
0,1995-05-01,17,2.685044369056805,0,132,1,0.3358526216343883,0,1,25.155,0.01955928346038927,0.3125,-1.5161783017734058,2.4154589371980677,4.371387283236994,3.3934231102175314,2.69523552320529,0.03802699655114106,1994-11-17
2,1995-05-01,3,2.0154687967155036,0,132,1,0.3358526216343883,0,1,25.155,0.02355421518527827,0.2857142857142857,-1.5161783017734058,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,0.03802699655114106,1994-11-17
0,1995-05-01,721,4.317980369569762,0,132,1,0.3358526216343883,0,1,25.155,0.03288444891234537,0.41025641025641024,-1.5161783017734058,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,0.03802699655114106,1994-11-17
0,1995-05-01,6,3.6284871798840297,0,132,1,0.3358526216343883,0,1,25.155,0.03543429393203205,0.13333333333333333,-1.5161783017734058,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,0.03802699655114106,1994-11-17
0,1995-05-01,25,2.6330469815013675,0,132,1,0.3358526216343883,0,1,25.155,0.02802560665717237,0,-1.5161783017734058,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,0.03802699655114106,1994-11-17
2,1995-06-01,12,11.755799386171338,1,133,1,0.3358526216343883,0,1,25.155,0.04961289827148082,0.2413793103448276,-1.5161783017734058,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,0.01417905820437996,1994-11-17
0,1995-06-01,2420,4.04953320425882,2,133,1,0.3358526216343883,0,1,25.155,0.02217021306302533,0.11594202898550723,-1.5161783017734058,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,0.01417905820437996,1994-11-17
1,1995-06-01,1,9.019066251289455,0,133,1,0.3358526216343883,0,1,25.155,0.01158512747479825,0.14,-1.5161783017734058,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,0.01417905820437996,1994-11-17
1,1995-06-01,15,4.677510866555772,0,133,1,0.3358526216343883,0,1,25.155,0.01989263075591298,0.6428571428571429,-1.5161783017734058,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,0.01417905820437996,1994-11-17
2,1995-06-01,19,9.551421846414105,1,133,1,0.3358526216343883,0,1,25.155,0.01827650721845243,0.5869565217391305,-1.5161783017734058,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,0.01417905820437996,1994-11-17
0,1995-06-01,4,3.605925549506364,0,133,1,0.3358526216343883,0,1,25.155,0.01877740079863728,0.5483870967741935,-1.5161783017734058,3.864734299516908,1.9869942196531791,2.9258642595850435,3.596141786904103,0.01417905820437996,1994-11-17
0,1995-06-01,13,10.009218423605647,0,133,1,0.3358526216343883,0,1,25.155,0.05365844293652789,0,-1.5161783017734058,10.748792270531402,5.382947976878612,8.065870123705007,9.981260269389969,0.01417905820437996,1994-11-17
1,1995-06-01,14,5.074541206927768,0,133,1,0.3358526216343883,0,1,25.155,0.01737420066460026,0.04761904761904761,-1.5161783017734058,5.314009661835748,3.5765895953757223,4.445299628605735,5.065488566653997,0.01417905820437996,1994-11-17
0,1995-06-01,16,3.2708514053620212,0,133,1,0.3358526216343883,0,1,25.155,0.02701160258021278,0,-1.5161783017734058,2.898550724637681,5.5997109826589595,4.24913085364832,3.2849255101854444,0.01417905820437996,1994-11-17
0,1995-06-01,8,2.787408515920705,0,133,1,0.3358526216343883,0,1,25.155,0.01682618469185445,0.15384615384615383,-1.5161783017734058,3.0193236714975846,1.3367052023121389,2.1780144369048617,2.7786414134717403,0.01417905820437996,1994-11-17
0,1995-06-01,10,4.7842817018083945,0,133,1,0.3358526216343883,0,1,25.155,0.03166624780095502,0.18181818181818185,-1.5161783017734058,4.3478260869565215,7.514450867052023,5.931138477004272,4.8007810594304265,0.01417905820437996,1994-11-17
0,1995-06-01,2,8.88506300305342,1,133,1,0.3358526216343883,0,1,25.155,0.01254502806400267,0.3333333333333333,-1.5161783017734058,9.057971014492754,7.803468208092486,8.43071961129262,8.878526551191253,0.01417905820437996,1994-11-17
1,1995-06-01,5,4.665216666580683,0,133,1,0.3358526216343883,0,1,25.155,0.03179016224065231,0.3125,-1.5161783017734058,4.2270531400966185,7.40606936416185,5.816561252129233,4.681780588487941,0.01417905820437996,1994-11-17
0,1995-06-01,18,2.584134275818035,0,133,1,0.3358526216343883,0,1,25.155,0.01404945407835581,0.1176470588235294,-1.5161783017734058,2.7777777777777777,1.3728323699421965,2.075305073859987,2.57681395897184,0.01417905820437996,1994-11-17
0,1995-06-01,17,2.685044369056805,0,133,1,0.3358526216343883,0,1,25.155,0.01955928346038927,0.3125,-1.5161783017734058,2.4154589371980677,4.371387283236994,3.3934231102175314,2.69523552320529,0.01417905820437996,1994-11-17
0,1995-06-01,3,2.0154687967155036,2,133,1,0.3358526216343883,0,1,25.155,0.02355421518527827,0.2857142857142857,-1.5161783017734058,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,0.01417905820437996,1994-11-17
0,1995-06-01,721,4.317980369569762,0,133,1,0.3358526216343883,0,1,25.155,0.03288444891234537,0.41025641025641024,-1.5161783017734058,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,0.01417905820437996,1994-11-17
0,1995-06-01,6,3.6284871798840297,0,133,1,0.3358526216343883,0,1,25.155,0.03543429393203205,0.13333333333333333,-1.5161783017734058,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,0.01417905820437996,1994-11-17
0,1995-06-01,25,2.6330469815013675,0,133,1,0.3358526216343883,0,1,25.155,0.02802560665717237,0,-1.5161783017734058,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,0.01417905820437996,1994-11-17
0,1995-07-01,12,11.755799386171338,3,134,1,-0.12048780487804878,0,1,25.155,0.04961289827148082,0.2413793103448276,-1.5161783017734058,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,0.16429358420205104,1994-11-17
0,1995-07-01,2420,4.04953320425882,2,134,1,-0.12048780487804878,0,1,25.155,0.02217021306302533,0.11594202898550723,-1.5161783017734058,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,0.16429358420205104,1994-11-17
0,1995-07-01,1,9.019066251289455,1,134,1,-0.12048780487804878,0,1,25.155,0.01158512747479825,0.14,-1.5161783017734058,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,0.16429358420205104,1994-11-17
0,1995-07-01,15,4.677510866555772,1,134,1,-0.12048780487804878,0,1,25.155,0.01989263075591298,0.6428571428571429,-1.5161783017734058,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,0.16429358420205104,1994-11-17
1,1995-07-01,19,9.551421846414105,3,134,1,-0.12048780487804878,0,1,25.155,0.01827650721845243,0.5869565217391305,-1.5161783017734058,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,0.16429358420205104,1994-11-17
